Instance,Configuration,Value,Time_Seconds,Feasible
instance-11.txt,STANDARD+ALPHA,2861.00,601,Yes
instance-14.txt,STANDARD+ALPHA,2153.00,601,Yes
instance-13.txt,STANDARD+ALPHA,1303.00,605,Yes
instance-11.txt,STANDARD+ALPHA,3402.00,600,Yes
instance-14.txt,STANDARD+ALPHA,1605.00,605,Yes
instance-13.txt,STANDARD+ALPHA,1344.00,606,Yes
instance-11.txt,STANDARD+ALPHA,2876.00,603,Yes
instance-13.txt,STANDARD+ALPHA,1384.00,604,Yes
instance-14.txt,STANDARD+ALPHA,1465.00,606,Yes
instance-13.txt,STANDARD+ALPHA,907.00,600,Yes
instance-11.txt,STANDARD+ALPHA,3091.00,603,Yes
instance-14.txt,STANDARD+ALPHA,1468.00,605,Yes
instance-11.txt,STANDARD+ALPHA,2827.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1442.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1224.00,605,Yes
instance-11.txt,STANDARD+ALPHA,3032.00,600,Yes
instance-13.txt,STANDARD+ALPHA,1497.00,601,Yes
instance-14.txt,STANDARD+ALPHA,1633.00,606,Yes
instance-11.txt,STANDARD+ALPHA,3495.00,600,Yes
instance-13.txt,STANDARD+ALPHA,1181.00,605,Yes
instance-14.txt,STANDARD+ALPHA,1580.00,606,Yes
instance-11.txt,STANDARD+ALPHA,3208.00,602,Yes
instance-13.txt,STANDARD+ALPHA,1360.00,605,Yes
instance-14.txt,STANDARD+ALPHA,1584.00,605,Yes
instance-11.txt,STANDARD+ALPHA,3251.00,602,Yes
instance-14.txt,STANDARD+ALPHA,1389.00,604,Yes
instance-13.txt,STANDARD+ALPHA,1610.00,605,Yes
